Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1732813080,30,,Aggregated,16.900000,0.000000,4,5,5,5,6,8,11,13,17,17,17,364,0,4,4.467396983382859,1.473040996643249,16.548374995181803,77.23076923076923
1732813081,30,,Aggregated,17.000000,0.000000,4,5,5,5,6,8,11,13,17,17,17,380,0,4,4.429659539355749,1.473040996643249,16.548374995181803,77.26315789473684
1732813082,30,,Aggregated,18.200000,0.000000,4,5,5,5,6,8,11,13,17,17,17,406,0,4,4.362013029479972,0.9152080019703135,16.548374995181803,77.3103448275862
1732813083,30,,Aggregated,18.300000,0.000000,4,5,5,5,6,8,11,13,17,17,17,425,0,4,4.385173232893815,0.9152080019703135,16.548374995181803,77.34117647058824
1732813084,30,,Aggregated,18.400000,0.000000,4,5,5,5,6,8,11,13,17,17,17,443,0,4,4.35862443113566,0.9152080019703135,16.548374995181803,77.36794582392777
1732813085,30,,Aggregated,19.300000,0.000000,4,5,5,5,6,8,11,13,17,17,17,467,0,4,4.34538909424559,0.9152080019703135,16.548374995181803,77.40042826552462
1732813086,30,,Aggregated,19.600000,0.000000,4,5,5,5,6,8,11,13,17,17,17,484,0,4,4.3395711115807005,0.9152080019703135,16.548374995181803,77.42148760330579
1732813087,30,,Aggregated,19.600000,0.000000,4,5,5,5,6,8,11,13,45,45,45,505,0,4,4.414759815865343,0.9152080019703135,44.90845800319221,77.44554455445545
1732813088,30,,Aggregated,19.400000,0.000000,4,5,5,5,6,7,11,13,45,45,45,527,0,4,4.412773083493403,0.9152080019703135,44.90845800319221,77.46869070208729
1732813089,30,,Aggregated,20.100000,0.000000,4,5,5,5,6,8,13,13,45,45,45,543,0,4,4.530845300188763,0.9152080019703135,44.90845800319221,77.48434622467772
1732813090,30,,Aggregated,19.900000,0.000000,4,5,5,5,6,8,12,13,45,45,45,563,0,4,4.492199447595405,0.9152080019703135,44.90845800319221,77.50266429840143
1732813091,30,,Aggregated,19.600000,0.000000,4,5,5,5,6,8,12,13,45,45,45,587,0,4,4.470119456602125,0.9152080019703135,44.90845800319221,77.52299829642249
1732813092,30,,Aggregated,20.100000,0.000000,4,5,5,5,6,8,11,13,45,45,45,603,0,4,4.460267613600023,0.9152080019703135,44.90845800319221,77.53565505804312
1732813093,30,,Aggregated,19.300000,0.000000,4,5,5,5,6,8,11,13,45,45,45,627,0,4,4.462668387606154,0.9152080019703135,44.90845800319221,77.55342902711324
1732813094,30,,Aggregated,20.100000,0.000000,4,5,5,5,6,8,11,13,45,45,45,648,0,4,4.458067121970403,0.9152080019703135,44.90845800319221,77.5679012345679
